date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2021-11-16,22.092436974789916,48.8125,10.152,33.13636363636363,24.402173913043477,1.095890410958904
2021-11-17,24.84,52.1958762886598,10.939516129032258,27.58823529411765,23.666666666666668,1.3741496598639455
2021-11-18,25.37795275590551,48.90526315789474,10.76771653543307,28.227272727272727,23.20921985815603,1.7724137931034483
2021-11-19,25.53076923076923,54.04950495049505,3.717948717948718,25.783783783783782,30.637065637065636,1.232394366197183
2021-11-20,19.411347517730498,44.06542056074766,6.574912891986063,30.328767123287673,26.854166666666668,0.9922480620155039
2021-11-21,15.93661971830986,38.208333333333336,7.146179401993355,25.3943661971831,19.463054187192117,2.675925925925926
2021-11-22,18.941666666666666,45.18811881188119,5.782258064516129,30.38235294117647,22.977941176470587,2.816901408450704
2021-11-23,16.2,40.25,0.5573122529644269,26.924242424242426,22.41726618705036,3.5
2021-11-24,21.36,43.04123711340206,4.971774193548387,26.544117647058822,21.985559566787003,2.537931034482759
2021-11-25,25.095238095238095,46.77319587628866,6.72,28.91304347826087,18.469750889679716,2.9172413793103447
2021-11-26,25.356589147286822,50.98,5.0814814814814815,29.91891891891892,27.935606060606062,1.5
2021-11-27,26.0,51.12264150943396,12.616724738675957,37.971014492753625,28.07563025210084,-0.5307692307692308
2021-11-28,24.077464788732396,46.56382978723404,13.067567567567568,31.808823529411764,22.872549019607842,0.944954128440367
2021-11-29,26.291666666666668,54.55670103092783,10.295081967213115,34.3134328358209,21.766666666666666,1.7152777777777777
2021-11-30,32.61864406779661,62.33684210526316,16.75,30.523076923076925,22.612099644128115,0.9657534246575342
2021-12-01,39.421487603305785,68.64583333333333,21.545833333333334,33.19117647058823,21.41726618705036,-0.11564625850340136
2021-12-02,39.693548387096776,68.93684210526315,22.40080971659919,36.31818181818182,20.325088339222614,0.07586206896551724
2021-12-03,43.3671875,76.93877551020408,16.2,34.625,27.229007633587788,-1.2377622377622377
2021-12-04,31.934306569343065,59.38461538461539,19.14788732394366,43.25714285714286,28.770833333333332,-1.984732824427481
2021-12-05,32.852112676056336,58.225806451612904,21.671232876712327,40.62686567164179,28.58128078817734,-0.7
2021-12-06,37.4,67.96907216494846,23.196652719665273,37.323076923076925,19.959558823529413,0.3402777777777778
2021-12-07,46.2991452991453,80.3936170212766,49.91517857142857,37.203125,24.007194244604317,-2.8493150684931505
2021-12-08,20.771186440677965,33.578947368421055,28.11061946902655,4.225352112676056,-29.08724832214765,9.405594405594405
2021-12-09,34.693548387096776,57.59375,18.362903225806452,32.87692307692308,22.08833922261484,0.2896551724137931
2021-12-10,32.421875,56.95049504950495,15.903846153846153,30.197183098591548,29.334615384615386,0.704225352112676
2021-12-11,28.664233576642335,51.5188679245283,17.074468085106382,42.140845070422536,33.81856540084388,-0.8473282442748091
2021-12-12,25.65034965034965,45.365591397849464,16.1734693877551,36.3134328358209,33.60301507537689,0.9357798165137615
2021-12-13,34.15833333333333,61.10204081632653,20.672268907563026,36.49230769230769,21.91176470588235,0.9375
2021-12-14,35.52136752136752,60.68421052631579,20.320833333333333,36.0,22.814946619217082,0.8835616438356164
2021-12-15,43.78512396694215,67.23404255319149,24.0,35.333333333333336,22.534296028880867,-0.25170068027210885
2021-12-16,47.46341463414634,72.98936170212765,28.06967213114754,38.52307692307692,22.403508771929825,-0.6095890410958904
2021-12-17,39.765625,66.64,19.252918287937742,31.720588235294116,28.684615384615384,-0.36363636363636365
2021-12-18,38.40875912408759,63.883495145631066,27.035971223021583,50.014084507042256,35.81896551724138,-3.263157894736842
2021-12-19,43.39716312056738,67.47252747252747,28.703071672354948,50.0,41.4639175257732,-3.2522522522522523
2021-12-20,47.89915966386555,77.9278350515464,27.021367521367523,39.96969696969697,20.373626373626372,-0.1724137931034483
2021-12-21,51.87931034482759,83.03191489361703,29.81896551724138,39.609375,20.85409252669039,-0.6438356164383562
2021-12-22,59.02564102564103,90.17021276595744,38.15384615384615,41.09375,19.903225806451612,-1.8783783783783783
2021-12-23,68.77118644067797,108.90322580645162,47.05240174672489,49.353846153846156,18.172535211267604,-3.0860927152317883
2021-12-24,51.25396825396825,120.87234042553192,52.426160337552744,31.422535211267604,7.765342960288809,-0.7272727272727273
2021-12-25,-10.808510638297872,-5.423423423423423,15.592857142857143,-8.417721518987342,-34.88363636363636,6.2421875
2021-12-26,27.690647482014388,43.81720430107527,27.856164383561644,37.07462686567164,22.103448275862068,-0.3211009174311927
2021-12-27,40.152542372881356,66.21428571428571,29.721973094170405,32.707692307692305,11.535971223021583,2.6527777777777777
2021-12-28,45.62068965517241,72.18085106382979,35.16740088105727,36.53225806451613,12.01048951048951,2.25
2021-12-29,50.93043478260869,79.84042553191489,39.625,39.015625,11.512280701754387,1.2808219178082192
2021-12-30,69.44736842105263,108.2258064516129,60.80487804878049,57.234375,10.335640138408305,-1.2953020134228188
2021-12-31,49.232,117.60215053763442,62.47488584474886,32.24285714285714,-5.320422535211268,1.1134751773049645
2022-01-01,-15.390070921985815,-14.25,30.809701492537314,-10.518987341772151,-43.184397163120565,5.286821705426356
2022-01-02,26.703703703703702,40.06666666666667,45.58455882352941,48.52238805970149,3.4075829383886256,-0.981651376146789
2022-01-03,38.50420168067227,67.6701030927835,42.943127962085306,36.878787878787875,-2.685121107266436,4.626760563380282
2022-01-04,36.474137931034484,63.427083333333336,40.5,34.484848484848484,1.8453608247422681,5.194444444444445
2022-01-05,34.81967213114754,60.61052631578947,39.26046511627907,30.96969696969697,1.972318339100346,5.475524475524476
2022-01-06,30.648,55.197916666666664,32.380090497737555,31.5,0.8361774744027304,6.398601398601398
2022-01-07,23.984126984126984,52.84,32.8582995951417,26.71641791044776,8.478260869565217,6.870503597122302
2022-01-08,22.63235294117647,46.13861386138614,36.55185185185185,42.98550724637681,18.11740890688259,3.75
2022-01-09,23.103703703703705,37.37777777777778,42.397887323943664,37.38461538461539,17.835748792270532,2.7314814814814814
2022-01-10,5.533898305084746,23.06,18.20361990950226,16.34328358208955,-37.817275747508305,13.086330935251798
2022-01-11,25.965811965811966,57.11578947368421,21.978448275862068,31.2,12.517605633802816,4.544827586206897
2022-01-12,23.758064516129032,51.270833333333336,20.76271186440678,23.895522388059703,12.634751773049645,5.744827586206896
2022-01-13,21.46031746031746,47.69072164948454,16.633064516129032,22.393939393939394,11.99655172413793,6.236111111111111
2022-01-14,18.393700787401574,48.76470588235294,13.202334630350194,22.06756756756757,21.86466165413534,6.453900709219858
2022-01-15,20.605839416058394,48.92307692307692,18.017543859649123,32.31944444444444,29.75103734439834,3.8828125
2022-01-16,18.056338028169016,43.108695652173914,19.79054054054054,35.38235294117647,25.565,3.8333333333333335
2022-01-17,24.641666666666666,57.854166666666664,20.016666666666666,28.924242424242426,19.67883211678832,4.825174825174825
2022-01-18,23.60169491525424,54.020833333333336,17.298319327731093,22.696969696969695,19.839285714285715,5.13103448275862
2022-01-19,25.991869918699187,50.958333333333336,17.959183673469386,24.92753623188406,19.722627737226276,5.075862068965518
2022-01-20,26.341463414634145,49.46808510638298,19.109756097560975,27.36764705882353,19.588652482269502,5.186206896551724
2022-01-21,22.078125,47.83,11.594696969696969,22.37837837837838,28.24230769230769,5.276595744680851
2022-01-22,20.773722627737225,44.4,12.47719298245614,32.770270270270274,31.584033613445378,3.6484375
2022-01-23,20.37142857142857,40.23913043478261,17.928813559322034,31.714285714285715,27.34,3.3796296296296298
2022-01-24,24.666666666666668,52.90721649484536,16.337448559670783,30.28985507246377,25.015094339622642,4.159722222222222
2022-01-25,21.97457627118644,50.24742268041237,14.901639344262295,27.71212121212121,23.853479853479854,4.315068493150685
2022-01-26,25.74380165289256,50.71875,17.43951612903226,26.36231884057971,24.44280442804428,3.627586206896552
2022-01-27,25.704,49.71875,16.566265060240966,27.575757575757574,24.63799283154122,3.6482758620689655
2022-01-28,22.4921875,47.205882352941174,10.71647509578544,21.958904109589042,34.01953125,3.908450704225352
2022-01-29,27.824817518248175,54.50476190476191,19.12280701754386,36.74285714285714,36.26068376068376,1.8615384615384616
2022-01-30,27.235714285714284,54.380434782608695,22.71864406779661,33.86363636363637,31.733333333333334,2.1203703703703702
2022-01-31,33.553719008264466,70.28865979381443,23.033195020746888,33.74242424242424,30.977186311787072,1.8402777777777777
2022-02-01,30.316239316239315,64.42105263157895,21.195020746887966,31.181818181818183,31.01851851851852,2.041095890410959
2022-02-02,33.32520325203252,66.5578947368421,23.691666666666666,29.728571428571428,31.071428571428573,1.564625850340136
2022-02-03,31.772357723577237,59.895833333333336,20.987951807228917,31.014705882352942,31.492753623188406,1.7210884353741496
2022-02-04,26.1875,52.6764705882353,12.43560606060606,27.22222222222222,39.98814229249012,1.795774647887324
2022-02-05,27.83941605839416,53.794117647058826,16.519434628975265,35.7027027027027,36.666666666666664,1.744186046511628
2022-02-06,25.53191489361702,52.21739130434783,17.86,32.11594202898551,30.26530612244898,2.6574074074074074
2022-02-07,28.421487603305785,60.878787878787875,17.542857142857144,36.76119402985075,34.10266159695818,1.4166666666666667
2022-02-08,22.615384615384617,51.36842105263158,13.349794238683128,30.818181818181817,31.823970037453183,2.0821917808219177
2022-02-09,25.821138211382113,50.90625,14.78688524590164,29.144927536231883,32.35849056603774,1.6896551724137931
2022-02-10,27.95967741935484,51.34375,17.28,32.582089552238806,32.54181818181818,1.5448275862068965
2022-02-11,24.90625,48.588235294117645,11.511278195488721,29.34246575342466,42.572,1.1338028169014085
2022-02-12,26.231884057971016,50.11764705882353,15.821052631578947,34.89041095890411,38.27155172413793,1.5348837209302326
2022-02-13,21.617021276595743,44.87234042553192,15.96989966555184,31.304347826086957,30.626943005181346,2.7037037037037037
2022-02-14,27.191666666666666,55.326530612244895,15.427983539094651,33.56716417910448,38.45593869731801,1.2847222222222223
2022-02-15,27.632478632478634,57.9468085106383,19.22222222222222,28.852941176470587,39.03488372093023,0.636986301369863
2022-02-16,31.008196721311474,59.427083333333336,19.848979591836734,30.591549295774648,39.445736434108525,0.3716216216216216
2022-02-17,31.879032258064516,58.833333333333336,20.427419354838708,32.63235294117647,40.09737827715356,0.24489795918367346
2022-02-18,23.868217054263567,49.59,9.845864661654135,30.405405405405407,48.855421686746986,0.8873239436619719
2022-02-19,26.42753623188406,51.84466019417476,18.738515901060072,34.36,40.77155172413793,0.9923664122137404
2022-02-20,23.2,47.93478260869565,18.073825503355703,31.057971014492754,30.474489795918366,2.3981481481481484
2022-02-21,24.950413223140497,55.06122448979592,16.6900826446281,36.544117647058826,43.09842519685039,0.7724137931034483
2022-02-22,23.76271186440678,51.863157894736844,18.71604938271605,31.98507462686567,44.5078125,0.6027397260273972
2022-02-23,22.248,47.68041237113402,15.261044176706827,25.642857142857142,42.713178294573645,1.469387755102041
2022-02-24,17.904761904761905,40.252631578947366,9.086274509803921,22.82608695652174,40.6015037593985,2.452054794520548
2022-02-25,20.476923076923075,47.12,9.0,22.30666666666667,48.54761904761905,1.7605633802816902
2022-02-26,24.036231884057973,52.67307692307692,16.05923344947735,28.66216216216216,42.30869565217391,1.1755725190839694
2022-02-27,15.829787234042554,44.71578947368421,7.776666666666666,24.771428571428572,30.805128205128206,3.7685185185185186
2022-02-28,27.272727272727273,63.23711340206186,18.404166666666665,33.63235294117647,46.61417322834646,1.0482758620689656
2022-03-01,30.54237288135593,68.90425531914893,23.475409836065573,33.51470588235294,47.5843137254902,0.1506849315068493
2022-03-02,28.51219512195122,63.58762886597938,25.668067226890756,27.464788732394368,47.16731517509728,0.4589041095890411
2022-03-03,28.112903225806452,57.55789473684211,20.779591836734692,30.928571428571427,48.08015267175573,0.7959183673469388
2022-03-04,26.37984496124031,54.148514851485146,15.317164179104477,28.22972972972973,57.540650406504064,1.0704225352112675
2022-03-05,26.357142857142858,53.44230769230769,17.97173144876325,35.14666666666667,44.18859649122807,1.2061068702290076
2022-03-06,18.125874125874127,45.21649484536083,10.672354948805461,30.422535211267604,30.859375,3.8878504672897196
2022-03-07,26.702479338842974,61.275510204081634,22.234309623430963,36.405797101449274,51.922764227642276,1.6319444444444444
