date,retail_and_recreation_percent_change_from_baseline_Chile,grocery_and_pharmacy_percent_change_from_baseline_Chile,parks_percent_change_from_baseline_Chile,transit_stations_percent_change_from_baseline_Chile,workplaces_percent_change_from_baseline_Chile,residential_percent_change_from_baseline_Chile
2020-07-15,-53.096774193548384,-35.16393442622951,-56.859154929577464,-52.403225806451616,-33.2463768115942,20.92982456140351
2020-07-16,-71.14516129032258,-49.885245901639344,-66.97142857142858,-70.79032258064517,-62.51470588235294,30.705882352941178
2020-07-17,-56.25396825396825,-38.90163934426229,-60.690140845070424,-60.857142857142854,-36.470588235294116,26.75
2020-07-18,-61.09375,-42.774193548387096,-67.02816901408451,-65.88888888888889,-27.52238805970149,24.04
2020-07-19,-67.06349206349206,-51.645161290322584,-70.44285714285714,-71.83050847457628,-25.196969696969695,22.0
2020-07-20,-53.903225806451616,-39.34426229508197,-58.183098591549296,-57.5,-32.3768115942029,21.68421052631579
2020-07-21,-57.08064516129032,-42.03333333333333,-61.54929577464789,-58.65079365079365,-34.21739130434783,22.614035087719298
2020-07-22,-54.53225806451613,-38.885245901639344,-57.24285714285714,-55.714285714285715,-32.044117647058826,21.94736842105263
2020-07-23,-55.435483870967744,-40.145161290322584,-56.42857142857143,-57.375,-32.608695652173914,22.45614035087719
2020-07-24,-54.22222222222222,-37.75409836065574,-56.816901408450704,-58.682539682539684,-30.753623188405797,24.70175438596491
2020-07-25,-57.875,-39.26984126984127,-62.97142857142857,-62.57142857142857,-23.895522388059703,22.14
2020-07-26,-63.80952380952381,-48.41935483870968,-67.24285714285715,-69.14516129032258,-23.196969696969695,21.020408163265305
2020-07-27,-52.25806451612903,-38.09836065573771,-55.15492957746479,-56.53225806451613,-31.82608695652174,21.210526315789473
2020-07-28,-51.96774193548387,-37.032786885245905,-53.57746478873239,-54.06349206349206,-31.88235294117647,20.56140350877193
2020-07-29,-50.523809523809526,-33.704918032786885,-53.056338028169016,-52.42857142857143,-31.81159420289855,20.50877192982456
2020-07-30,-54.507936507936506,-37.557377049180324,-56.056338028169016,-56.80952380952381,-33.44117647058823,22.403508771929825
2020-07-31,-51.317460317460316,-32.91803278688525,-54.15492957746479,-56.671875,-30.808823529411764,24.105263157894736
2020-08-01,-54.890625,-33.01587301587302,-61.91549295774648,-60.36507936507937,-25.29850746268657,22.1
2020-08-02,-59.44444444444444,-40.18032786885246,-62.87323943661972,-66.22950819672131,-22.060606060606062,20.020408163265305
2020-08-03,-50.12698412698413,-33.41935483870968,-52.55714285714286,-56.274193548387096,-31.63768115942029,20.771929824561404
2020-08-04,-49.95238095238095,-32.91803278688525,-51.88732394366197,-53.476190476190474,-31.764705882352942,20.43859649122807
2020-08-05,-51.57142857142857,-34.32786885245902,-54.38028169014085,-53.84126984126984,-32.21739130434783,21.140350877192983
2020-08-06,-51.6031746031746,-34.95,-52.32857142857143,-54.523809523809526,-32.01449275362319,21.385964912280702
2020-08-07,-48.53968253968254,-30.934426229508198,-50.19718309859155,-54.0625,-29.579710144927535,22.473684210526315
2020-08-08,-51.546875,-31.873015873015873,-57.19718309859155,-56.46031746031746,-22.83582089552239,20.03921568627451
2020-08-09,-59.67741935483871,-41.32786885245902,-64.24285714285715,-66.16129032258064,-21.28787878787879,19.395833333333332
2020-08-10,-45.645161290322584,-30.704918032786885,-49.67142857142857,-53.0,-30.347826086956523,18.45614035087719
2020-08-11,-45.596774193548384,-30.516666666666666,-49.16901408450704,-50.142857142857146,-30.47826086956522,18.210526315789473
2020-08-12,-44.5,-28.262295081967213,-49.070422535211264,-48.935483870967744,-29.855072463768117,18.54385964912281
2020-08-13,-43.46774193548387,-25.950819672131146,-48.521126760563384,-49.666666666666664,-29.985507246376812,18.894736842105264
2020-08-14,-40.76190476190476,-21.806451612903224,-46.82857142857143,-47.390625,-28.18840579710145,19.912280701754387
