date,retail_and_recreation_percent_change_from_baseline_Bolivia,grocery_and_pharmacy_percent_change_from_baseline_Bolivia,parks_percent_change_from_baseline_Bolivia,transit_stations_percent_change_from_baseline_Bolivia,workplaces_percent_change_from_baseline_Bolivia,residential_percent_change_from_baseline_Bolivia
2020-09-23,-30.642857142857142,-10.32,-22.431818181818183,-33.23529411764706,-14.340909090909092,13.04
2020-09-24,-35.41379310344828,-14.851851851851851,-22.955555555555556,-34.94285714285714,-25.52173913043478,15.458333333333334
2020-09-25,-32.8,-10.222222222222221,-23.19148936170213,-35.86842105263158,-15.244444444444444,13.416666666666666
2020-09-26,-43.875,-23.074074074074073,-31.195652173913043,-46.388888888888886,-20.72093023255814,14.583333333333334
2020-09-27,-50.2,-37.48,-39.083333333333336,-53.42424242424242,-19.975609756097562,15.695652173913043
2020-09-28,-34.214285714285715,-11.678571428571429,-26.456521739130434,-35.75757575757576,-16.08695652173913,15.083333333333334
2020-09-29,-31.066666666666666,-9.413793103448276,-23.108695652173914,-34.0,-16.622222222222224,12.291666666666666
2020-09-30,-31.714285714285715,-10.692307692307692,-22.755555555555556,-31.885714285714286,-16.195652173913043,11.32
2020-10-01,-31.79310344827586,-8.964285714285714,-22.444444444444443,-30.852941176470587,-16.5,9.833333333333334
2020-10-02,-27.2,-0.7142857142857143,-19.152173913043477,-34.67567567567568,-13.222222222222221,9.666666666666666
2020-10-03,-39.34375,-12.148148148148149,-25.0,-40.916666666666664,-19.681818181818183,9.75
2020-10-04,-39.689655172413794,-22.52,-27.208333333333332,-47.48571428571429,-18.195121951219512,10.347826086956522
2020-10-05,-26.464285714285715,-2.925925925925926,-18.130434782608695,-32.3125,-17.91304347826087,9.75
2020-10-06,-25.137931034482758,-5.423076923076923,-18.622222222222224,-31.484848484848484,-17.32608695652174,8.384615384615385
2020-10-07,-24.607142857142858,-6.28,-17.5,-30.235294117647058,-14.232558139534884,10.08
2020-10-08,-24.03448275862069,-2.8461538461538463,-18.022222222222222,-29.363636363636363,-13.043478260869565,10.44
2020-10-09,-23.8,-1.8518518518518519,-19.53191489361702,-31.945945945945947,-10.222222222222221,10.84
2020-10-10,-33.38709677419355,-10.444444444444445,-23.695652173913043,-37.861111111111114,-12.951219512195122,10.333333333333334
2020-10-11,-33.56666666666667,-20.5,-25.5625,-44.285714285714285,-9.85,10.565217391304348
2020-10-12,-23.321428571428573,-4.153846153846154,-19.26086956521739,-31.393939393939394,-14.630434782608695,11.333333333333334
2020-10-13,-21.96551724137931,-4.074074074074074,-20.2,-30.636363636363637,-14.152173913043478,11.52
2020-10-14,-19.928571428571427,2.4615384615384617,-14.533333333333333,-19.09090909090909,-8.681818181818182,10.52
2020-10-15,-21.620689655172413,6.038461538461538,-19.844444444444445,-16.484848484848484,-11.956521739130435,10.68
2020-10-16,-24.733333333333334,5.461538461538462,-24.340425531914892,-31.31578947368421,-9.11111111111111,12.125
2020-10-17,-38.28125,-4.148148148148148,-34.319148936170215,-47.138888888888886,-14.395348837209303,14.75
2020-10-18,-54.65625,-47.84615384615385,-32.702127659574465,-63.705882352941174,-20.075,19.217391304347824
2020-10-19,-26.75,-4.518518518518518,-23.195652173913043,-32.17142857142857,-14.043478260869565,13.083333333333334
2020-10-20,-22.133333333333333,-2.142857142857143,-22.466666666666665,-30.875,-12.444444444444445,12.08
2020-10-21,-22.892857142857142,-4.3076923076923075,-20.511111111111113,-34.142857142857146,-7.909090909090909,12.24
2020-10-22,-24.310344827586206,-2.230769230769231,-19.91111111111111,-32.73529411764706,-10.777777777777779,11.875
2020-10-23,-21.8,1.2962962962962963,-18.02173913043478,-35.083333333333336,-7.333333333333333,10.833333333333334
2020-10-24,-32.6,-7.703703703703703,-23.26086956521739,-41.333333333333336,-11.55813953488372,10.5
2020-10-25,-35.206896551724135,-18.88,-25.604166666666668,-45.23529411764706,-10.390243902439025,10.478260869565217
2020-10-26,-26.142857142857142,-5.2592592592592595,-22.130434782608695,-34.3235294117647,-11.847826086956522,12.375
2020-10-27,-21.75862068965517,-3.769230769230769,-21.31111111111111,-32.75757575757576,-12.266666666666667,10.56
