date,retail_and_recreation_percent_change_from_baseline_Barbados,grocery_and_pharmacy_percent_change_from_baseline_Barbados,parks_percent_change_from_baseline_Barbados,transit_stations_percent_change_from_baseline_Barbados,workplaces_percent_change_from_baseline_Barbados,residential_percent_change_from_baseline_Barbados
2020-08-05,-12.666666666666666,-4.666666666666667,-6.0,-37.333333333333336,-30.375,11.666666666666666
2020-08-06,-18.0,-11.666666666666666,-11.666666666666666,-42.0,-31.77777777777778,12.333333333333334
2020-08-07,-22.5,-15.0,-5.333333333333333,-43.333333333333336,-28.75,12.333333333333334
2020-08-08,-26.75,-21.0,-15.0,-44.666666666666664,-23.0,11.0
2020-08-09,-20.333333333333332,-21.333333333333332,-0.3333333333333333,-50.333333333333336,-21.0,6.0
2020-08-10,-23.666666666666668,-21.333333333333332,-12.666666666666666,-46.0,-31.88888888888889,12.666666666666666
2020-08-11,-22.0,-17.333333333333332,-12.666666666666666,-44.0,-29.77777777777778,12.333333333333334
2020-08-12,-20.0,-13.666666666666666,-9.333333333333334,-44.0,-30.875,11.666666666666666
2020-08-13,-16.666666666666668,-13.333333333333334,-5.666666666666667,-44.0,-29.77777777777778,12.0
2020-08-14,-22.5,-15.666666666666666,-4.333333333333333,-46.333333333333336,-29.0,13.0
2020-08-15,-19.333333333333332,-14.333333333333334,4.666666666666667,-40.0,-18.333333333333332,8.0
2020-08-16,-24.333333333333332,-22.333333333333332,-9.0,-53.666666666666664,-22.75,6.0
2020-08-17,-40.0,-33.0,,,-37.0,17.0
2020-08-18,-22.0,-14.0,,,-28.0,12.0
2020-08-19,-17.0,-14.0,,,-29.0,10.666666666666666
2020-08-20,-20.0,-16.0,,,-31.0,11.666666666666666
2020-08-21,-18.0,-15.0,,,-28.0,11.666666666666666
2020-08-22,-17.0,-14.0,,,-20.0,7.0
2020-08-23,,,,,-21.0,5.0
2020-08-24,-23.0,-20.0,,,-30.5,11.666666666666666
2020-08-25,-13.0,-11.0,,,-28.5,10.333333333333334
2020-08-26,-11.0,,,,-27.0,9.666666666666666
2020-08-27,-10.0,-9.0,,,-28.5,10.0
2020-08-28,-11.0,-10.0,,,-27.0,9.666666666666666
2020-08-29,-15.0,-13.0,,,-20.0,6.0
2020-08-30,,,,,-22.0,4.0
2020-08-31,-15.0,-16.0,,,-28.5,10.333333333333334
2020-09-01,-14.0,-14.0,,,-28.0,9.666666666666666
2020-09-02,-13.0,-15.0,,,-28.0,8.333333333333334
2020-09-03,-15.0,-14.0,,,-30.0,10.666666666666666
2020-09-04,-14.0,-15.0,,,-26.0,10.666666666666666
2020-09-05,-13.0,-15.0,,,-18.0,6.0
2020-09-06,,,,,-21.0,4.0
2020-09-07,-21.0,-22.0,,,-30.0,10.666666666666666
2020-09-08,-15.0,-16.0,,,-28.0,9.666666666666666
2020-09-09,-13.0,-18.0,,,-28.0,8.666666666666666
2020-09-10,-13.0,-17.0,,,-28.5,10.333333333333334
2020-09-11,-15.25,-16.333333333333332,2.6666666666666665,-33.0,-26.0,10.333333333333334
2020-09-12,-13.0,-16.0,4.666666666666667,-31.0,-20.333333333333332,6.0
2020-09-13,-11.0,-22.0,-5.666666666666667,-43.666666666666664,-22.25,5.0
2020-09-14,-18.333333333333332,-22.333333333333332,6.0,-36.333333333333336,-25.25,10.0
2020-09-15,-11.0,-17.0,3.6666666666666665,-31.0,-23.0,9.333333333333334
