date,retail_and_recreation_percent_change_from_baseline_Dominican Republic,grocery_and_pharmacy_percent_change_from_baseline_Dominican Republic,parks_percent_change_from_baseline_Dominican Republic,transit_stations_percent_change_from_baseline_Dominican Republic,workplaces_percent_change_from_baseline_Dominican Republic,residential_percent_change_from_baseline_Dominican Republic
2020-07-04,-21.217391304347824,1.0,-21.04,-39.166666666666664,-12.448275862068966,9.166666666666666
2020-07-05,-32.714285714285715,-11.055555555555555,-22.5,-45.416666666666664,-14.37037037037037,6.7
2020-07-06,-20.55,-5.888888888888889,-18.36,-43.166666666666664,-31.451612903225808,13.0
2020-07-07,-24.05,-8.578947368421053,-25.375,-38.90909090909091,-30.096774193548388,12.846153846153847
2020-07-08,-27.818181818181817,-15.19047619047619,-29.44,-42.916666666666664,-31.967741935483872,14.076923076923077
2020-07-09,-26.571428571428573,-13.3,-27.375,-42.54545454545455,-31.741935483870968,13.76923076923077
2020-07-10,-29.52173913043478,-14.523809523809524,-29.96,-43.333333333333336,-30.466666666666665,14.538461538461538
2020-07-11,-29.5,-14.869565217391305,-30.4,-45.666666666666664,-16.266666666666666,11.083333333333334
2020-07-12,-35.583333333333336,-18.3,-30.076923076923077,-48.083333333333336,-15.5,10.5
2020-07-13,-24.5,-13.476190476190476,-28.84,-41.666666666666664,-30.677419354838708,12.923076923076923
2020-07-14,-25.80952380952381,-14.157894736842104,-28.8,-43.0,-31.580645161290324,13.307692307692308
2020-07-15,-25.727272727272727,-12.19047619047619,-27.75,-41.833333333333336,-31.806451612903224,13.846153846153847
2020-07-16,-24.61904761904762,-10.142857142857142,-28.208333333333332,-43.90909090909091,-32.03225806451613,14.153846153846153
2020-07-17,-27.59090909090909,-11.904761904761905,-30.28,-42.333333333333336,-31.6,14.692307692307692
2020-07-18,-30.041666666666668,-12.521739130434783,-32.03846153846154,-44.666666666666664,-18.033333333333335,11.916666666666666
2020-07-19,-38.25,-19.4,-36.69230769230769,-49.416666666666664,-17.821428571428573,11.7
2020-07-20,-26.681818181818183,-12.857142857142858,-32.92,-44.916666666666664,-31.903225806451612,14.307692307692308
2020-07-21,-33.19047619047619,-21.857142857142858,-36.72,-48.18181818181818,-35.12903225806452,16.46153846153846
2020-07-22,-33.81818181818182,-22.09090909090909,-36.84,-46.5,-34.87096774193548,17.384615384615383
2020-07-23,-33.09090909090909,-20.80952380952381,-36.08,-48.18181818181818,-34.87096774193548,17.615384615384617
2020-07-24,-33.18181818181818,-17.318181818181817,-35.72,-48.333333333333336,-34.2,17.153846153846153
2020-07-25,-36.916666666666664,-17.82608695652174,-39.53846153846154,-51.25,-23.233333333333334,15.583333333333334
2020-07-26,-40.17391304347826,-15.05,-40.88461538461539,-54.416666666666664,-18.5,13.2
2020-07-27,-26.59090909090909,-11.0,-30.68,-46.72727272727273,-34.12903225806452,14.846153846153847
2020-07-28,-28.45,-12.947368421052632,-30.32,-44.18181818181818,-33.903225806451616,14.923076923076923
2020-07-29,-28.227272727272727,-11.428571428571429,-30.217391304347824,-44.333333333333336,-36.0,15.076923076923077
2020-07-30,-47.714285714285715,-31.4,-51.56,-63.416666666666664,-47.87096774193548,22.166666666666668
2020-07-31,-41.857142857142854,-26.304347826086957,-45.72,-56.25,-41.7,16.75
2020-08-01,-39.5,-23.73913043478261,-43.44,-53.333333333333336,-25.366666666666667,14.666666666666666
2020-08-02,-43.041666666666664,-22.55,-42.76923076923077,-55.083333333333336,-22.75,13.7
2020-08-03,-24.857142857142858,-11.952380952380953,-28.44,-43.25,-34.38709677419355,13.461538461538462
2020-08-04,-25.904761904761905,-13.8,-28.84,-42.81818181818182,-34.74193548387097,13.76923076923077
2020-08-05,-27.727272727272727,-15.909090909090908,-28.84,-43.166666666666664,-35.54838709677419,14.846153846153847
2020-08-06,-29.142857142857142,-17.333333333333332,-28.52,-47.81818181818182,-35.61290322580645,14.846153846153847
2020-08-07,-31.545454545454547,-18.545454545454547,-29.36,-46.916666666666664,-34.4,14.923076923076923
2020-08-08,-37.458333333333336,-23.08695652173913,-37.72,-52.916666666666664,-23.8,13.916666666666666
2020-08-09,-40.958333333333336,-21.65,-36.03846153846154,-55.25,-21.785714285714285,11.9
2020-08-10,-26.5,-15.571428571428571,-30.0,-46.36363636363637,-34.225806451612904,12.76923076923077
2020-08-11,-28.09090909090909,-17.857142857142858,-28.44,-47.0,-34.645161290322584,13.692307692307692
2020-08-12,-28.952380952380953,-18.272727272727273,-28.88,-46.916666666666664,-35.483870967741936,14.615384615384615
2020-08-13,-30.333333333333332,-18.61904761904762,-29.6,-48.81818181818182,-35.45161290322581,15.23076923076923
2020-08-14,-31.181818181818183,-17.272727272727273,-30.52,-47.333333333333336,-34.53333333333333,15.538461538461538
2020-08-15,-34.75,-17.782608695652176,-37.04,-51.0,-23.366666666666667,13.75
2020-08-16,-39.125,-17.65,-34.80769230769231,-54.166666666666664,-22.071428571428573,12.0
2020-08-17,-32.4,-16.25,-26.75,-49.0,-34.0,12.692307692307692
2020-08-18,-33.6,-17.25,-24.75,-48.25,-32.666666666666664,12.615384615384615
2020-08-19,-36.4,-19.0,-26.0,-51.25,-34.25,13.615384615384615
2020-08-20,-37.2,-20.25,-28.5,-52.0,-35.0,14.0
2020-08-21,-38.2,-17.5,-32.0,-45.4,-34.833333333333336,14.538461538461538
2020-08-22,-44.0,-22.0,-45.0,-51.4,-30.0,14.5
2020-08-23,-64.0,-45.0,-65.14285714285714,-68.6,-44.5,15.375
2020-08-24,-35.6,-19.5,-33.0,-51.75,-33.666666666666664,11.846153846153847
2020-08-25,-33.6,-17.25,-25.0,-47.5,-33.583333333333336,12.461538461538462
2020-08-26,-36.0,-19.5,-26.0,-50.75,-33.833333333333336,12.692307692307692
2020-08-27,-35.6,-19.5,-27.5,-50.0,-34.083333333333336,12.846153846153847
2020-08-28,-36.2,-17.25,-27.75,-44.2,-33.916666666666664,12.692307692307692
2020-08-29,-40.6,-20.25,-33.6,-47.6,-27.555555555555557,11.333333333333334
2020-08-30,-43.4,-19.75,-34.0,-53.25,-26.333333333333332,9.7
2020-08-31,-32.0,-16.5,-26.5,-45.5,-32.916666666666664,10.76923076923077
2020-09-01,-32.6,-16.25,-26.0,-44.25,-33.75,11.923076923076923
