date,retail_and_recreation_percent_change_from_baseline_Peru,grocery_and_pharmacy_percent_change_from_baseline_Peru,parks_percent_change_from_baseline_Peru,transit_stations_percent_change_from_baseline_Peru,workplaces_percent_change_from_baseline_Peru,residential_percent_change_from_baseline_Peru
2021-04-25,-63.144578313253014,-58.65079365079365,-54.50375939849624,-66.51136363636364,-33.80701754385965,22.508474576271187
2021-04-26,-27.804878048780488,-4.147540983606557,-29.488372093023255,-41.20879120879121,-13.131147540983607,16.094594594594593
2021-04-27,-28.024390243902438,-5.885245901639344,-29.38167938931298,-39.73626373626374,-14.862903225806452,16.18918918918919
2021-04-28,-27.98780487804878,-6.409836065573771,-28.908396946564885,-40.84615384615385,-15.008064516129032,16.243243243243242
2021-04-29,-27.402439024390244,-5.131147540983607,-29.823076923076922,-39.53260869565217,-14.325203252032521,16.405405405405407
2021-04-30,-25.373493975903614,-1.180327868852459,-26.786259541984734,-38.27173913043478,-11.121951219512194,15.405405405405405
2021-05-01,-24.607142857142858,-1.2741935483870968,-22.330827067669173,-41.78021978021978,-19.92241379310345,13.367647058823529
2021-05-02,-59.95180722891566,-54.77777777777778,-50.82706766917293,-63.38202247191011,-32.25,21.633333333333333
2021-05-03,-23.03614457831325,2.80327868852459,-25.333333333333332,-37.35164835164835,-12.975609756097562,14.878378378378379
2021-05-04,-24.329268292682926,-0.45901639344262296,-26.80314960629921,-36.26373626373626,-14.368852459016393,15.22972972972973
2021-05-05,-24.21951219512195,-0.9672131147540983,-26.99236641221374,-37.641304347826086,-13.952,15.594594594594595
2021-05-06,-23.790123456790123,0.5573770491803278,-27.346153846153847,-35.73626373626374,-14.272,15.824324324324325
2021-05-07,-23.698795180722893,1.9836065573770492,-26.53435114503817,-35.20652173913044,-11.311475409836065,15.64864864864865
2021-05-08,-12.024096385542169,21.311475409836067,-12.537878787878787,-26.966666666666665,-3.4424778761061945,8.264705882352942
2021-05-09,-56.75,-41.476190476190474,-50.40601503759399,-68.27272727272727,-27.94871794871795,18.9672131147541
2021-05-10,-23.180722891566266,-1.403225806451613,-25.046511627906977,-33.64835164835165,-14.902439024390244,14.297297297297296
2021-05-11,-24.0,-2.1129032258064515,-25.40625,-33.967032967032964,-14.53225806451613,15.486486486486486
2021-05-12,-24.085365853658537,-3.2131147540983607,-24.439393939393938,-35.1978021978022,-14.709677419354838,16.10810810810811
2021-05-13,-23.240963855421686,-1.1967213114754098,-24.76923076923077,-35.25,-14.130081300813009,16.04054054054054
2021-05-14,-24.63095238095238,-1.4262295081967213,-25.346153846153847,-36.96739130434783,-12.398373983739837,16.26027397260274
2021-05-15,-18.035714285714285,5.612903225806452,-18.112781954887218,-32.54945054945055,-6.614035087719298,10.985294117647058
2021-05-16,-50.38095238095238,-38.3968253968254,-43.484848484848484,-55.68888888888889,-23.878260869565217,18.901639344262296
2021-05-17,-20.301204819277107,3.3442622950819674,-22.472868217054263,-33.505494505494504,-10.352459016393443,14.391891891891891
2021-05-18,-20.80246913580247,1.0491803278688525,-23.22222222222222,-34.30769230769231,-11.853658536585366,14.85135135135135
2021-05-19,-21.341463414634145,-0.5409836065573771,-20.66412213740458,-35.43956043956044,-10.814516129032258,15.256756756756756
2021-05-20,-20.109756097560975,1.0655737704918034,-19.421875,-32.83516483516483,-10.5,15.54054054054054
2021-05-21,-20.682926829268293,0.5081967213114754,-18.364341085271317,-33.40217391304348,-7.450819672131147,15.73972602739726
2021-05-22,-15.75,6.387096774193548,-11.628787878787879,-28.439560439560438,-0.9646017699115044,10.985294117647058
