date,retail_and_recreation_percent_change_from_baseline_Uruguay,grocery_and_pharmacy_percent_change_from_baseline_Uruguay,parks_percent_change_from_baseline_Uruguay,transit_stations_percent_change_from_baseline_Uruguay,workplaces_percent_change_from_baseline_Uruguay,residential_percent_change_from_baseline_Uruguay
2020-08-12,-17.05263157894737,-2.5,-38.57142857142857,-22.6875,10.095238095238095,5.5625
2020-08-13,-19.473684210526315,-6.631578947368421,-34.857142857142854,-22.5,9.285714285714286,5.0588235294117645
2020-08-14,-17.2,-1.0,-37.285714285714285,-29.6875,9.571428571428571,5.5
2020-08-15,-15.5,6.555555555555555,-33.857142857142854,-32.0,-2.0476190476190474,7.333333333333333
2020-08-16,-22.38888888888889,-6.0,-33.61904761904762,-40.8125,-6.55,9.5
2020-08-17,-27.6,-19.4,-47.666666666666664,-30.6,-2.8333333333333335,5.133333333333334
2020-08-18,-30.2,-19.4,-45.0,-29.4,-1.6666666666666667,5.0
2020-08-19,-34.0,-20.8,-59.666666666666664,-33.2,-5.166666666666667,6.8125
2020-08-20,-34.6,-23.0,-55.5,-35.8,-6.333333333333333,7.3125
2020-08-21,-29.4,-16.8,-51.0,-31.2,-2.6666666666666665,6.25
2020-08-22,-25.6,-13.4,-41.142857142857146,-29.8,-13.6,7.333333333333333
2020-08-23,-28.0,-16.0,-37.0,-34.0,-19.8,9.333333333333334
2020-08-24,-19.2,-3.0,-35.166666666666664,-26.2,-9.833333333333334,3.125
2020-08-25,-69.8,-50.8,-70.66666666666667,-67.2,-66.44444444444444,17.666666666666668
2020-08-26,-44.6,-31.2,-67.16666666666667,-41.4,-7.166666666666667,7.4
2020-08-27,-35.4,-22.6,-54.5,-35.4,-4.333333333333333,8.733333333333333
2020-08-28,-32.0,-19.2,-51.714285714285715,-33.4,-1.6666666666666667,5.75
2020-08-29,-37.6,-21.2,-65.14285714285714,-43.4,-15.6,10.444444444444445
2020-08-30,-33.8,-20.0,-51.714285714285715,-43.6,-20.2,11.0
2020-08-31,-33.2,-23.2,-56.833333333333336,-35.6,0.0,5.75
2020-09-01,-38.4,-22.2,-59.833333333333336,-36.2,-2.6666666666666665,8.466666666666667
2020-09-02,-48.6,-31.2,-71.66666666666667,-49.6,-11.833333333333334,10.866666666666667
2020-09-03,-31.6,-14.0,-55.833333333333336,-35.0,-3.5,5.8125
2020-09-04,-24.6,-10.0,-47.714285714285715,-28.2,-0.5,3.9375
2020-09-05,-19.8,-6.0,-45.0,-27.8,-12.6,6.111111111111111
2020-09-06,-26.0,-11.4,-49.857142857142854,-36.0,-20.4,9.333333333333334
2020-09-07,-23.4,-12.4,-47.0,-28.6,0.0,3.4375
2020-09-08,-25.4,-12.4,-42.166666666666664,-25.6,-0.6666666666666666,3.176470588235294
2020-09-09,-27.8,-14.0,-49.333333333333336,-28.6,-2.3333333333333335,3.5625
2020-09-10,-24.0,-13.2,-37.0,-26.0,-1.8333333333333333,1.7222222222222223
2020-09-11,-13.722222222222221,0.47368421052631576,-32.85,-29.125,8.523809523809524,2.6875
2020-09-12,-13.88888888888889,1.0,-29.333333333333332,-33.294117647058826,-8.333333333333334,4.444444444444445
2020-09-13,-23.529411764705884,-10.75,-33.23809523809524,-43.77777777777778,-15.8,7.333333333333333
2020-09-14,-8.666666666666666,-2.1666666666666665,-30.42105263157895,-27.4,16.952380952380953,2.5
2020-09-15,-15.444444444444445,-4.555555555555555,-32.9,-27.785714285714285,15.80952380952381,3.4705882352941178
2020-09-16,-11.11111111111111,-2.111111111111111,-26.61904761904762,-26.4375,15.19047619047619,2.588235294117647
2020-09-17,-18.333333333333332,-8.31578947368421,-22.714285714285715,-41.0,-3.238095238095238,7.066666666666666
2020-09-18,-12.38888888888889,1.05,-26.0,-27.625,11.619047619047619,3.0
2020-09-19,-16.444444444444443,1.0,-29.952380952380953,-34.4375,-8.428571428571429,6.0
2020-09-20,-15.75,-4.769230769230769,-15.714285714285714,-41.1764705882353,-13.2,8.0
2020-09-21,-10.666666666666666,-2.473684210526316,-26.789473684210527,-32.6,-7.238095238095238,5.333333333333333
2020-09-22,-18.944444444444443,-6.526315789473684,-28.9,-28.666666666666668,-7.380952380952381,4.933333333333334
2020-09-23,-18.666666666666668,-2.9444444444444446,-32.75,-24.875,12.666666666666666,2.8
2020-09-24,-23.63157894736842,-8.421052631578947,-32.095238095238095,-26.2,10.380952380952381,4.052631578947368
2020-09-25,-21.68421052631579,-3.6315789473684212,-39.75,-29.375,10.380952380952381,4.7368421052631575
