date,retail_and_recreation_percent_change_from_baseline_Guatemala,grocery_and_pharmacy_percent_change_from_baseline_Guatemala,parks_percent_change_from_baseline_Guatemala,transit_stations_percent_change_from_baseline_Guatemala,workplaces_percent_change_from_baseline_Guatemala,residential_percent_change_from_baseline_Guatemala
2021-10-19,13.590909090909092,20.56756756756757,-9.631578947368421,-13.0,-8.444444444444445,1.6470588235294117
2021-10-20,15.955555555555556,25.0,-10.415584415584416,-17.48148148148148,-36.472727272727276,10.0
2021-10-21,11.666666666666666,22.135135135135137,-11.87012987012987,-9.846153846153847,-7.785046728971962,2.843137254901961
2021-10-22,11.488372093023257,22.974358974358974,-8.177215189873417,-11.758620689655173,-5.240384615384615,2.2857142857142856
2021-10-23,10.211538461538462,19.38095238095238,-8.8,-5.96875,1.1839080459770115,0.48717948717948717
2021-10-24,6.76595744680851,9.54054054054054,-5.107142857142857,-12.827586206896552,-7.905405405405405,0.23333333333333334
2021-10-25,11.068181818181818,19.82051282051282,-9.986666666666666,-11.586206896551724,-5.009174311926605,1.9411764705882353
2021-10-26,16.046511627906977,23.7027027027027,-6.9324324324324325,-9.11111111111111,-5.715596330275229,1.3529411764705883
2021-10-27,16.288888888888888,26.894736842105264,-5.5,-6.615384615384615,-6.188679245283019,1.5098039215686274
2021-10-28,18.466666666666665,30.135135135135137,-7.25,-2.4615384615384617,-6.644859813084112,1.5686274509803921
2021-10-29,20.3953488372093,34.666666666666664,-1.7922077922077921,-0.7857142857142857,-2.2115384615384617,-0.08
2021-10-30,25.458333333333332,41.023809523809526,2.289156626506024,14.482758620689655,3.2873563218390807,-3.5
2021-10-31,25.431818181818183,33.611111111111114,11.035294117647059,1.36,-2.5277777777777777,-4.064516129032258
2021-11-01,9.931818181818182,19.486486486486488,-2.9014084507042255,-17.071428571428573,-53.83185840707964,9.326530612244898
2021-11-02,19.58139534883721,31.054054054054053,-4.291666666666667,-2.4615384615384617,-9.898148148148149,0.0392156862745098
2021-11-03,18.53488372093023,29.263157894736842,-4.4605263157894735,-2.3461538461538463,-6.650943396226415,1.1764705882352942
2021-11-04,18.613636363636363,29.405405405405407,-6.973684210526316,-2.1923076923076925,-6.738317757009346,1.4901960784313726
2021-11-05,16.372093023255815,27.05128205128205,-6.2784810126582276,-7.666666666666667,-2.855769230769231,1.1428571428571428
2021-11-06,14.78,22.27906976744186,-8.94047619047619,-1.03125,2.022727272727273,-0.7368421052631579
2021-11-07,15.934782608695652,19.486486486486488,-0.9285714285714286,-10.555555555555555,-5.756756756756757,-1.1935483870967742
2021-11-08,16.65909090909091,24.15,-6.466666666666667,-7.724137931034483,-4.458715596330276,1.2352941176470589
2021-11-09,19.348837209302324,28.594594594594593,-3.22972972972973,-4.16,-5.805555555555555,1.0784313725490196
2021-11-10,19.651162790697676,27.666666666666668,-4.269230769230769,-1.04,-5.149532710280374,1.4705882352941178
2021-11-11,20.795454545454547,29.64864864864865,-5.571428571428571,-5.0,-6.0,1.9411764705882353
2021-11-12,17.953488372093023,27.487179487179485,-5.194805194805195,-6.857142857142857,-2.4134615384615383,1.530612244897959
2021-11-13,18.4,25.357142857142858,-5.152941176470589,-1.15625,4.32183908045977,-0.7948717948717948
2021-11-14,18.804347826086957,20.75,-2.8588235294117648,-7.689655172413793,-3.388888888888889,-0.9354838709677419
2021-11-15,17.636363636363637,28.53846153846154,-6.7105263157894735,-8.714285714285714,-4.513761467889908,2.0
2021-11-16,21.90909090909091,34.027027027027025,-3.28,-11.333333333333334,-3.740740740740741,1.2941176470588236
2021-11-17,23.674418604651162,32.53846153846154,-1.5064935064935066,-2.962962962962963,-4.280373831775701,0.6470588235294118
2021-11-18,24.613636363636363,34.62162162162162,-2.103896103896104,-0.6153846153846154,-4.509433962264151,1.1764705882352942
2021-11-19,22.3953488372093,30.23076923076923,-0.5974025974025974,-3.0384615384615383,-1.0294117647058822,0.78
2021-11-20,24.72,30.78048780487805,2.4761904761904763,7.466666666666667,5.850574712643678,-2.902439024390244
