date,retail_and_recreation_percent_change_from_baseline_Ecuador,grocery_and_pharmacy_percent_change_from_baseline_Ecuador,parks_percent_change_from_baseline_Ecuador,transit_stations_percent_change_from_baseline_Ecuador,workplaces_percent_change_from_baseline_Ecuador,residential_percent_change_from_baseline_Ecuador
2020-06-10,-36.215384615384615,-24.34,-34.077586206896555,-56.42307692307692,-39.55072463768116,23.066666666666666
2020-06-11,-36.10606060606061,-24.08,-35.0,-58.074074074074076,-39.60144927536232,23.733333333333334
2020-06-12,-38.492753623188406,-23.784313725490197,-35.59016393442623,-58.535714285714285,-37.416058394160586,25.955555555555556
2020-06-13,-45.77777777777778,-29.62962962962963,-42.05555555555556,-59.214285714285715,-14.285714285714286,18.941176470588236
2020-06-14,-62.23943661971831,-56.111111111111114,-56.88709677419355,-74.70454545454545,-14.48,19.379310344827587
2020-06-15,-30.396825396825395,-18.12,-30.92982456140351,-52.870370370370374,-36.36496350364963,22.177777777777777
2020-06-16,-31.396825396825395,-17.93877551020408,-31.016806722689076,-53.43396226415094,-37.59124087591241,22.377777777777776
2020-06-17,-33.375,-20.244897959183675,-32.675213675213676,-54.642857142857146,-38.166666666666664,22.6
2020-06-18,-34.09230769230769,-20.551020408163264,-34.38135593220339,-55.58181818181818,-38.5,22.91111111111111
2020-06-19,-35.80597014925373,-18.84,-35.14876033057851,-56.160714285714285,-36.24817518248175,24.511111111111113
2020-06-20,-40.361111111111114,-18.653846153846153,-39.8968253968254,-56.351851851851855,-11.936936936936936,16.852941176470587
2020-06-21,-56.06944444444444,-49.07843137254902,-51.94488188976378,-71.58823529411765,-5.360824742268041,17.0
2020-06-22,-32.22222222222222,-22.333333333333332,-33.65217391304348,-56.75438596491228,-38.51470588235294,22.42222222222222
2020-06-23,-31.857142857142858,-19.122448979591837,-31.54237288135593,-53.98148148148148,-38.394160583941606,22.355555555555554
2020-06-24,-32.38461538461539,-20.918367346938776,-32.504273504273506,-54.339285714285715,-37.11594202898551,22.4
2020-06-25,-33.815384615384616,-21.612244897959183,-33.7563025210084,-54.166666666666664,-37.824817518248175,22.955555555555556
2020-06-26,-37.166666666666664,-21.784313725490197,-36.0,-56.87931034482759,-37.306569343065696,25.6
2020-06-27,-41.041666666666664,-25.89090909090909,-39.104,-56.851851851851855,-13.10909090909091,18.0
2020-06-28,-58.361111111111114,-52.81132075471698,-52.93700787401575,-70.95833333333333,-15.32,19.25
2020-06-29,-29.793650793650794,-18.686274509803923,-30.710526315789473,-55.275862068965516,-35.80882352941177,22.022222222222222
